source,#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
,#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
Rosemont,0.0,"Pierre, Jordany  00 Pierre, Jordany",23.0,3.0,314,13.7,29,66,0.439,9,28,0.321,11,15,0.733,78,3.4,16,47,63,2.7,31,12,19,6,3,View Bio
Rosemont,20.0,"Jones, Mahki  20 Jones, Mahki",16.0,0.0,128,8.0,16,34,0.471,7,14,0.5,2,3,0.667,41,2.6,1,12,13,0.8,8,6,18,11,0,View Bio
Rosemont,12.0,"Wallace, Jaden  12 Wallace, Jaden",19.0,0.0,180,9.5,13,55,0.236,2,22,0.091,13,19,0.684,41,2.2,10,11,21,1.1,21,10,10,12,1,View Bio
Rosemont,33.0,"Strain , Nick  33 Strain , Nick",20.0,0.0,152,7.6,13,41,0.317,3,22,0.136,11,17,0.647,40,2.0,7,17,24,1.2,24,8,7,9,1,View Bio
Rosemont,24.0,"Michels, Tyler  24 Michels, Tyler",21.0,1.0,129,6.1,9,32,0.281,5,19,0.263,3,3,1.0,26,1.2,6,18,24,1.1,14,9,11,8,0,View Bio
Rosemont,55.0,"Altomare, Jonathan  55 Altomare, Jonathan",13.0,0.0,43,3.3,4,14,0.286,0,3,0.0,3,7,0.429,11,0.8,2,7,9,0.7,14,0,3,0,0,View Bio
Rosemont,30.0,"Lane, Larry  30 Lane, Larry",5.0,0.0,6,1.2,2,2,1.0,0,0,0.0,0,2,0.0,4,0.8,0,2,2,0.4,2,0,0,0,0,View Bio
Rosemont,21.0,"Moore, Brandon  21 Moore, Brandon",5.0,0.0,9,1.8,1,3,0.333,0,1,0.0,0,0,0.0,2,0.4,0,2,2,0.4,1,0,1,0,0,View Bio
Rosemont,15.0,"Gruver, Phoenix  15 Gruver, Phoenix",2.0,0.0,3,1.5,0,1,0.0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,View Bio
Rosemont,23.0,"Snyder, Robert  23 Snyder, Robert",3.0,0.0,5,1.7,0,1,0.0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,1,0,0,0,View Bio
Rosemont,,Total,23.0,,4675,203.3,570,1326,0.43,140,523,0.268,302,449,0.673,1582,68.78,213,555,768,33.4,393,325,361,201,39,
Rosemont,,Opponents,,,4575,198.9,578,1306,0.443,163,517,0.315,269,410,0.656,1588,69.04,247,615,862,37.5,414,327,422,157,65,
Susquehanna,4.0,"Yurasits, Lukas 04 Yurasits, Lukas",29.0,29.0,748,25.8,159,308,0.516,50,120,0.417,87,108,0.806,455,15.7,34,63,97,3.3,70,34,36,30,5,View Bio
Susquehanna,13.0,"Dunn, Dominic 13 Dunn, Dominic",28.0,24.0,777,27.8,143,336,0.426,72,183,0.393,44,58,0.759,402,14.4,35,112,147,5.3,58,35,35,35,5,View Bio
Susquehanna,3.0,"Frauenheim, Danny 03 Frauenheim, Danny",29.0,29.0,861,29.7,108,250,0.432,32,89,0.36,46,59,0.78,294,10.1,9,58,67,2.3,22,155,46,48,1,View Bio
Susquehanna,0.0,"Rankine, Jr., Howie 00 Rankine, Jr., Howie",29.0,8.0,588,20.3,104,191,0.545,17,47,0.362,36,48,0.75,261,9.0,27,64,91,3.1,50,62,37,51,10,View Bio
